name;code;startLicense
湖南省张家界市;430800;湘G
湖南省益阳市;430900;湘H
湖南省郴州市;431000;湘L
湖南省永州市;431100;湘M
湖南省怀化市;431200;湘N
湖南省娄底市;431300;湘K
湖南省湘西市土家族苗族自治州;433100;湘P
广东省;440000;粤
广东省广州市;440100;粤A
广东省韶关市;440200;粤F
广东省深圳市;440300;粤B
广东省珠海市;440400;粤C
广东省汕头市;440500;粤D
广东省佛山市;440600;粤E
广东省江门市;440700;粤J
广东省湛江市;440800;粤G
广东省茂名市;440900;粤K
广东省肇庆市;441200;粤H
广东省惠州市;441300;粤L
广东省梅州市;441400;粤M
广东省汕尾市;441500;粤N
广东省河源市;441600;粤P
广东省阳江市;441700;粤Q
广东省清远市;441800;粤R
广东省东莞市;441900;粤S
广东省中山市;442000;粤T
广东省潮州市;445100;粤U
广东省揭阳市;445200;粤V
广东省云浮市;445300;粤W
广东省花都市;445400;粤A
广东省从化市;445500;粤A
广东省增城市;445600;粤A
广西省壮族自治区;450000;桂
广西省壮族自治区南宁市;450100;桂A
广西省壮族自治区柳州市;450200;桂G
广西省壮族自治区桂林市;450300;桂H
广西省壮族自治区梧州市;450400;桂D
广西省壮族自治区北海市;450500;桂E
广西省壮族自治区防城港市;450600;桂P
广西省壮族自治区钦州市;450700;桂N
广西省壮族自治区贵港市;450800;桂
广西省壮族自治区玉林市;450900;桂K
广西省壮族自治区百色市;451000;桂L
广西省壮族自治区贺州市;451100;桂J
广西省壮族自治区河池市;451200;桂M
广西省壮族自治区来宾市;451300;桂
广西省壮族自治区崇左市;451400;桂
海南省;460000;琼
海南省海口市;460100;琼A
海南省三亚市;460200;琼B
海南省直辖县级行政单位;469000;琼
重庆市;500000;渝
重庆市辖区;500100;渝
重庆市县;500200;渝
重庆市;500300;渝
四川省;510000;川
四川省成都市;510100;川A
自贡市;510300;川C
攀枝花市;510400;川D
泸州市;510500;川E
德阳市;510600;川F
绵阳市;510700;川
广元市;510800;川H
遂宁市;510900;川J
内江市;511000;川K
乐山市;511100;川L
南充市;511300;川R
眉山市;511400;川Z
宜宾市;511500;川Q
广安市;511600;川
达州市;511700;川S
万源市雅安市;511800;川
巴中市;511900;川
资阳市;512000;川
阿坝藏族羌族自治州;513200;川U
甘孜藏族自治州;513300;川V
凉山彝族自治州;513400;川W
贵州省;520000;黔
贵州省贵阳市;520100;贵A
贵州省六盘水市;520200;贵B
贵州省遵义市;520300;贵C
贵州省安顺市;520400;贵G
贵州省安顺市铜仁市地区;522200;贵D
贵州省安顺市黔西南布依族苗族自治州;522300;贵E
贵州省安顺市毕节市地区;522400;贵F
贵州省安顺市黔东南苗族侗族自治州;522600;贵H
贵州省安顺市黔南布依族苗族自治州;522700;贵J
云南省;530000;滇
云南省昆明市;530100;云A
云南省曲靖市;530300;云D
云南省玉溪市;530400;云F
云南省保山市;530500;云M
云南省昭通市;530600;云C
云南省丽江市;530700;云P
云南省思茅市;530800;云J
云南省临沧市;530900;云S
云南省楚雄市彝族自治州;532300;云E
云南省红河哈尼族彝族自治州;532500;云G
云南省文山壮族苗族自治州;532600;云H
云南省西双版纳傣族自治州;532800;云K
云南省大理白族自治州;532900;云L
云南省德宏傣族景颇族自治州;533100;云N
云南省怒江傈僳族自治州;533300;云Q
云南省迪庆藏族自治州;533400;云R
西藏自治区;540000;藏
西藏自治区拉萨市;540100;藏A
西藏自治区昌都地区;542100;藏B
西藏自治区山南地区;542200;藏C
西藏自治区日喀则地区;542300;藏D
西藏自治区那曲地区;542400;藏E
西藏自治区阿里地区;542500;藏F
西藏自治区林芝地区;542600;藏G
陕西省;610000;陕
陕西省西安市;610100;陕A
陕西省铜川市;610200;陕B
陕西省宝鸡市;610300;陕C
陕西省咸阳市;610400;陕D
陕西省渭南市;610500;陕E
陕西省延安市;610600;陕J
陕西省汉中市;610700;陕F
陕西省榆林市;610800;陕K
陕西省安康市;610900;陕G
陕西省商洛市;611000;陕H
甘肃省;620000;甘
甘肃省兰州市;620100;甘A
甘肃省嘉峪关市;620200;甘B
甘肃省金昌市;620300;甘C
甘肃省白银市;620400;甘D
甘肃省天水市;620500;甘E
甘肃省武威市;620600;甘H
甘肃省张掖市;620700;甘G
甘肃省平凉市;620800;甘L
甘肃省酒泉市;620900;甘F
甘肃省庆阳市;621000;甘M
甘肃省定西市;621100;甘J
甘肃省陇南市;621200;甘K
甘肃省临夏市回族自治州;622900;甘N
甘肃省甘南市藏族自治州;623000;甘P
青海省;630000;青
青海省西宁市;630100;青A
青海省海东市地区;632100;青B
青海省海北藏族自治州;632200;青C
青海省黄南藏族自治州;632300;青D
青海省海南藏族自治州;632500;青E
青海省果洛藏族自治州;632600;青F
青海省玉树藏族自治州;632700;青G
青海省海西蒙古族藏族自治州;632800;青H
宁夏回族自治区;640000;宁
宁夏回族自治区银川市;640100;宁A
宁夏回族自治区石嘴山市;640200;宁B
宁夏回族自治区吴忠市;640300;宁
宁夏回族自治区固原市;640400;宁D
宁夏回族自治区中卫市;640500;宁
新疆维吾尔自治区;650000;新
新疆维吾尔自治区乌鲁木齐市;650100;新A
新疆维吾尔自治区克拉玛依市;650200;新J
新疆维吾尔自治区吐鲁番地区;652100;新K
新疆维吾尔自治区哈密地区;652200;新L
新疆维吾尔自治区昌吉回族自治州;652300;新B
新疆维吾尔自治区博尔塔拉蒙古自治州;652700;新E
新疆维吾尔自治区巴音郭楞蒙古自治州;652800;新M
新疆维吾尔自治区阿克苏地区;652900;新N
新疆维吾尔自治区克孜勒苏柯尔克孜自治州;653000;新P
新疆维吾尔自治区喀什地区;653100;新Q
新疆维吾尔自治区和田地区;653200;新R
新疆维吾尔自治区伊犁哈萨克自治州;654000;新F
新疆维吾尔自治区塔城地区;654200;新G
新疆维吾尔自治区阿勒泰地区;654300;新H
新疆维吾尔自治区省直辖行政单位;659000;新
台湾省;710000;台
台湾省台北市;710100;台
台湾省高雄市;710200;台
台湾省基隆市;710300;台
台湾省台中市;710400;台
台湾省台南市;710500;台
台湾省新竹市;710600;台
台湾省嘉义市;710700;台
台湾省台北县(板桥市)　;710800;台
台湾省宜兰县(宜兰市);710900;台
台湾省新竹县(竹北市);711000;台
台湾省桃园县(桃园市);711100;台
台湾省苗栗县(苗栗市);711200;台
台湾省台中县(丰原市);711300;台
台湾省彰化县(彰化市);711400;台
台湾省南投县(南投市);711500;台
台湾省嘉义县(太保市);711600;台
台湾省云林县(斗六市);711700;台
台湾省台南县(新营市);711800;台
台湾省高雄县(凤山市);711900;台
台湾省屏东县(屏东市);712000;台
台湾省台东县(台东市)　;712100;台
台湾省花莲县(花莲市);712200;台
台湾省澎湖县(马公市);712300;台
香港特别行政区;810000;港
香港特别行政区市辖区;810100;港
澳门特别行政区;820000;澳
